id,1000G population code,population,1000G superpopulation code,latitude,longitude,GTM axis 1,GTM axis 2,t-SNE axis 1,t-SNE axis 2,Principal component 1,Principal component 2
HG02621,GWD,Gambian in Western Divisions in the Gambia,AFR,13.4431,-15.3101,7.329612351653517210e-01,-9.939990362699123727e-01,6.921729278564453125e+01,7.448720455169677734e+00,5.917821705866494142e+01,-1.283377712375524382e+01
HG02623,GWD,Gambian in Western Divisions in the Gambia,AFR,13.4431,-15.3101,5.357400709487103452e-01,-9.992300550861554775e-01,6.203183746337890625e+01,7.328492641448974609e+00,5.964962943039231646e+01,-1.110387797943724664e+01
HG02624,GWD,Gambian in Western Divisions in the Gambia,AFR,13.4431,-15.3101,6.068265909619487974e-01,-9.994191332344510847e-01,6.514020538330078125e+01,6.912604808807373047e+00,6.066850199831323920e+01,-1.346335161840820582e+01
HG02628,GWD,Gambian in Western Divisions in the Gambia,AFR,13.4431,-15.3101,5.929484366416238883e-01,-9.537333901967121053e-01,6.209775543212890625e+01,1.063607120513916016e+01,5.991769299158629281e+01,-1.337835296609278402e+01
HG02629,GWD,Gambian in Western Divisions in the Gambia,AFR,13.4431,-15.3101,6.003315373285204037e-01,-8.981659807908743964e-01,6.757403564453125000e+01,1.164243316650390625e+01,5.631662843877475666e+01,-1.347264486481185131e+01
HG02634,GWD,Gambian in Western Divisions in the Gambia,AFR,13.4431,-15.3101,5.999832196518943839e-01,-8.814224072949651267e-01,6.690444946289062500e+01,1.203131198883056641e+01,5.631245919576497272e+01,-1.163471697344968803e+01
HG02635,GWD,Gambian in Western Divisions in the Gambia,AFR,13.4431,-15.3101,7.339303785190071094e-01,-8.743362251673051366e-01,7.733193206787109375e+01,-1.399863958358764648e+00,5.847391415163451001e+01,-1.071466479420962337e+01
HG02642,GWD,Gambian in Western Divisions in the Gambia,AFR,13.4431,-15.3101,6.001647418079257834e-01,-9.543058270162272372e-01,6.293019866943359375e+01,9.780496597290039062e+00,5.968885463203585573e+01,-9.567457178908787441e+00
HG02643,GWD,Gambian in Western Divisions in the Gambia,AFR,13.4431,-15.3101,6.040002573217997384e-01,-8.817839560222148210e-01,6.627239227294921875e+01,1.073542308807373047e+01,5.586005459209629009e+01,-1.111817362193055736e+01
HG02645,GWD,Gambian in Western Divisions in the Gambia,AFR,13.4431,-15.3101,5.962159627404225448e-01,-9.985254134180526764e-01,6.373087692260742188e+01,8.632991790771484375e+00,5.705859939680605208e+01,-1.044559365039523513e+01
HG02646,GWD,Gambian in Western Divisions in the Gambia,AFR,13.4431,-15.3101,4.834199920222808089e-01,-9.973029496392646909e-01,5.993980407714843750e+01,1.075579166412353516e+01,5.904213851729642215e+01,-1.057091403763584481e+01
HG02666,GWD,Gambian in Western Divisions in the Gambia,AFR,13.4431,-15.3101,5.989714362585470964e-01,-9.986463680544717114e-01,6.416143798828125000e+01,7.566447734832763672e+00,5.739576174306535705e+01,-1.222187087841111186e+01
HG02667,GWD,Gambian in Western Divisions in the Gambia,AFR,13.4431,-15.3101,5.387305199732058680e-01,-9.987368051097598176e-01,5.984630203247070312e+01,1.069832706451416016e+01,5.808356917219438031e+01,-1.266316725739329918e+01
HG02675,GWD,Gambian in Western Divisions in the Gambia,AFR,13.4431,-15.3101,6.003638103460203768e-01,-8.790050673902882750e-01,6.517508697509765625e+01,1.147693252563476562e+01,5.689555892512304069e+01,-1.050657666293983539e+01
HG02676,GWD,Gambian in Western Divisions in the Gambia,AFR,13.4431,-15.3101,6.237025522387773524e-01,-9.881034318353332235e-01,6.945893096923828125e+01,1.016566658020019531e+01,5.822212846018859267e+01,-1.045547337681525590e+01
HG02678,GWD,Gambian in Western Divisions in the Gambia,AFR,13.4431,-15.3101,4.668211988986573080e-01,-8.813130158062781883e-01,6.095501327514648438e+01,1.316877841949462891e+01,5.680363642411466429e+01,-1.180869928308502281e+01
HG02679,GWD,Gambian in Western Divisions in the Gambia,AFR,13.4431,-15.3101,5.992499794876626762e-01,-8.673228804875654507e-01,6.352980422973632812e+01,1.320376777648925781e+01,5.897834789414367407e+01,-1.232828254607865759e+01
